Whichofthefollowingsocialmediaplatformsdoyouregularlyuse,Whichdevicedoyoucommonlyusewhenaccessingsocialmediaplatforms,HowlonghaveyoubeenonFacebook,HowlonghaveyoubeenonInstagram,HowmanydaysperweekdoyouaccessFacebook,HowmanydaysperweekdoyouaccessInstagram,HowmuchtimeperdaydoyouspendonFacebook,HowmuchtimeperdaydoyouspendonInstagram,HowmanyfriendsdoyouhaveonFacebook,HowmanyfollowersdoyouhaveonInstagram,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M12B,M14,M15,M16,M16B,M18,M19,M20,M21,M22,M22B,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,C1,C2,C3,C4,C5,C6,C7,CON1,CON2,CON3,CON4,CON5,IMP1,IMP2,IMP3,IMP4,IMP5,Whatisyourage,Age3Groups,Gender,WhatisyourestimatedmonthlyincomeInUSD,Whatisyourhighesteducationlevelachieved,Whatisyourcurrentemploymentstatus,Whatsyourmaritalstatus,Pos,Non,Env,View,SMEngagement,CreationSMContent,SMADV,SMBGC,SMUGC,Firstmatfactor,Secondmatfactor,Thirdmatfactor,Fourthmatfactor,Fifthmatfactor,Att1,Att2,Att3,Att4,Att5,Att6,Att7,SMI1,SMI2,SMI3,SMI4,SMI5,SMI6,SMI7,csummatedscale,consummatedscale,impsummatedscale,matsummated,smisummated,SMCSummated
Instagram,Smartphones,5,5,1,5,1,2,5,3,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,3,3,2,2,2,2,3,3,3,2,3,1,2,3,3,2,1,2,1,3,1,2,2,2,3,3,2,1,2,2,2,1,3,3,1,1,3,1,1,2,3,3,1,1,3,2,2,3,3,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,3,1,3,1,3,4,2,Female,1,2,Employed part time (up to 39 hours per week),Never married,1.67,1.43,1.29,1.71,1.92,2.00,1.56,2.50,2.10,1.40,1.80,1.50,1.25,1.40,1.60,1.50,2.40,2.60,2.25,2.00,2.00,2.00,2.00,2.00,1.60,2.20,2.20,1.63,1.57,1.20,2.20,1.46,1.88,2.07
Youtube,Smartphones,5,5,5,5,4,4,5,4,1,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,3,1,2,3,3,2,1,2,3,3,2,1,3,1,3,3,1,2,1,2,2,1,3,1,3,2,3,2,2,2,2,1,3,2,2,3,1,3,3,3,2,1,2,3,2,2,3,1,3,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,3,2,1,3,1,4,2,Female,4,5,Employed part time (up to 39 hours per week),Married,1.56,1.71,1.43,1.43,2.31,2.12,1.33,1.90,2.20,1.60,1.60,1.50,1.50,1.60,1.40,1.25,1.60,2.20,2.25,1.75,3.00,1.60,2.00,2.20,2.20,2.40,2.00,2.00,1.14,1.20,2.00,1.57,2.03,1.83
Youtube,Smartphones,5,5,4,5,5,5,5,5,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,3,1,3,2,1,1,1,2,3,1,3,1,1,3,3,1,1,1,1,2,2,3,1,3,3,1,1,2,1,2,1,1,3,2,1,3,3,3,1,3,1,2,2,2,2,1,1,3,1,3,1,1,1,3,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,3,2,1,3,3,2,Female,3,4,Employed part time (up to 39 hours per week),Never married,1.44,1.57,1.57,2.00,1.62,1.82,1.33,1.70,1.80,1.40,1.40,2.00,1.25,1.60,1.20,1.50,2.00,1.40,2.00,2.00,1.00,1.80,2.00,1.60,2.40,1.80,1.80,1.63,1.57,1.40,2.20,1.53,1.72,1.62
Line,Smartphones,5,2,3,5,2,5,5,4,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,3,3,3,1,2,3,1,3,3,3,2,2,1,3,1,2,3,2,3,2,3,1,1,3,1,2,3,2,1,3,2,1,1,1,1,2,2,2,3,2,2,1,3,1,3,3,2,3,2,1,1,1,1,2,3,3,3,1,2,2,2,2,2,2,1,1,2,2,2,3,1,2,3,3,2,1,Male,2,3,Student,Never married,1.22,1.71,1.71,1.86,2.08,1.82,1.22,2.30,2.20,1.20,1.40,1.50,2.00,1.60,1.00,1.50,2.20,2.40,2.00,2.25,2.50,2.00,1.80,1.60,2.00,1.80,2.60,1.88,1.86,1.60,2.40,1.55,1.97,1.93
Line,Tablets,5,4,5,5,5,3,2,3,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,3,3,1,1,2,1,2,2,3,1,1,2,1,1,2,2,1,3,3,2,3,2,3,1,3,1,2,3,2,3,2,3,1,3,1,1,3,2,1,3,3,1,3,1,3,1,1,3,2,2,2,1,3,1,1,3,2,2,2,1,1,1,2,1,2,2,1,1,3,3,2,2,2,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,1.44,1.43,1.57,2.57,2.08,1.82,1.67,1.70,1.70,1.40,1.40,1.50,1.50,1.60,1.80,1.50,1.80,1.60,1.75,1.50,2.00,2.60,2.00,2.20,2.00,2.20,1.80,1.88,1.57,1.40,2.40,1.48,2.11,1.69
Line,Tablets,5,4,5,5,5,3,2,3,2,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,3,1,3,2,3,1,2,3,1,3,3,3,3,1,3,1,1,3,2,1,2,2,3,3,2,2,1,3,2,3,2,1,3,1,1,2,1,1,2,2,3,2,1,3,1,3,2,2,2,3,2,2,3,2,3,1,2,2,1,1,1,1,2,1,2,2,1,3,2,1,3,1,4,2,Male,5,5,Employed part time (up to 39 hours per week),Married,1.44,1.43,1.71,2.29,1.85,2.18,1.56,1.90,2.20,1.40,1.60,1.50,1.25,1.80,1.40,1.75,1.60,2.20,2.50,2.50,1.00,2.00,2.20,2.20,1.60,2.00,2.00,2.38,1.29,1.60,2.00,1.53,2.05,1.90
Instagram,Computers,5,5,5,5,4,4,5,5,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,3,3,3,2,2,3,3,2,2,2,3,2,1,2,1,2,1,2,2,3,3,1,3,2,1,3,1,3,1,1,2,1,1,2,1,2,3,2,1,2,1,3,1,2,3,3,1,3,1,2,3,1,1,1,2,2,3,2,1,1,1,2,1,2,1,1,2,2,2,1,3,2,2,3,2,3,1,Male,3,4,Self-employed,Never married,1.33,1.29,1.43,2.14,1.85,1.82,1.56,2.50,1.90,1.40,1.20,1.50,1.25,1.40,1.20,2.00,2.60,2.40,2.00,1.50,2.50,2.00,1.80,1.40,2.00,2.00,2.00,1.88,1.29,1.60,2.40,1.35,1.95,2.00
TikTok,Smartphones,5,5,4,5,4,5,5,5,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,3,1,1,3,3,3,1,3,2,2,2,3,2,3,3,3,1,3,3,1,1,1,1,1,2,1,2,3,1,3,1,1,2,2,3,3,2,2,3,1,2,3,2,1,3,3,2,2,2,2,2,2,3,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,3,1,Female,1,4,Unemployed,Never married,1.44,1.43,1.57,1.57,2.15,1.88,1.56,2.20,2.40,1.40,1.40,1.25,2.00,1.40,1.60,1.50,1.80,2.60,2.25,2.75,2.00,1.40,1.80,1.60,2.40,2.20,2.20,2.00,1.57,1.20,1.20,1.48,1.96,2.07
Line,Smartphones,5,5,5,5,5,5,5,5,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,2,2,1,3,3,3,3,2,1,2,3,2,2,2,2,1,1,1,3,3,3,1,1,3,1,3,3,1,1,3,3,3,3,3,1,2,1,2,2,2,2,1,3,2,2,3,2,3,3,3,1,1,2,2,3,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,Female,2,4,Student,Never married,1.56,1.43,1.57,1.71,2.15,2.18,1.44,2.30,1.90,1.80,1.40,1.25,1.50,1.60,1.40,1.50,2.60,2.00,1.75,2.00,2.00,2.20,2.20,2.00,1.80,2.40,2.20,2.00,1.71,1.20,1.00,1.52,2.04,1.90
Facebook,Smartphones,5,5,5,5,5,5,5,5,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,2,2,1,1,3,1,2,1,3,2,2,2,3,3,2,1,2,3,1,3,3,1,1,3,2,2,2,2,1,2,3,1,1,2,1,1,2,1,3,2,1,2,1,3,3,3,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,3,1,3,1,Male,3,4,Employed part time (up to 39 hours per week),Never married,1.44,1.57,1.57,2.14,2.00,2.06,1.67,2.40,1.90,1.60,1.40,1.50,1.50,1.60,1.40,2.00,2.40,2.40,2.50,1.50,1.50,2.40,2.20,1.80,2.20,1.60,1.40,2.25,1.71,1.40,1.60,1.53,2.05,2.00
